date,latitude,longitude,type,description,perpetrator,perpetrator_type,weapon,facilities_destroyed,facilities_damaged,health_workers_killed,health_workers_injured,health_workers_kidnapped,health_workers_arrested,worker_profession,access_obstructed,event_id,year,month,day,date_string
2023-11-03,31.5240854092,34.443495558,Health Care,Paramedic: 1 injured; vicinity affected; 1 ambulance(s) destroyed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,1,0,0,Paramedic,False,41690,2023,11,3,2023-11-03
2023-11-03,31.4851129702,34.3988073813,Health Care,1 ambulance(s) destroyed,Israeli Defence Forces,Host Government: Military,Shelling,0,0,0,0,0,0,,False,41692,2023,11,3,2023-11-03
2023-11-03,31.3478325696,34.2932331562,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,No Information on the Weapon Used,0,0,0,0,0,0,,False,41711,2023,11,3,2023-11-03
2023-11-03,31.529385064,34.5066833496,Health Care,Military Medic: 1 killed,Unidentified Armed Actor,No Information,Firearms,0,0,1,0,0,0,Military Medic,False,44679,2023,11,3,2023-11-03
2023-11-03,31.5351927833,34.5093655515,Health Care,1 facility(ies) damaged; vicinity affected,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41688,2023,11,3,2023-11-03
2023-11-03,31.4432234,34.360007,Health Care,"Dentist, Doctor, Pharmacist: 3 killed",Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,3,0,0,0,"Dentist, Doctor, Pharmacist",False,64319,2023,11,3,2023-11-03
2023-11-04,31.5134844,34.4528214,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,85256,2023,11,4,2023-11-04
2023-11-04,31.4432234,34.360007,Health Care,Student(Tertiary): 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Student(Tertiary),False,71942,2023,11,4,2023-11-04
2023-11-04,31.5330246873,34.4587254595,Health Care,1 facility(ies) damaged; vicinity affected,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41686,2023,11,4,2023-11-04
2023-11-04,31.4415522024,34.3597412109,Health Care,"Doctor: 1 killed, 1 injured",Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,1,1,0,0,Doctor,False,41900,2023,11,4,2023-11-04
2023-11-04,31.5240854092,34.443495558,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41750,2023,11,4,2023-11-04
2023-11-04,31.5351927833,34.5093655515,Health Care,vicinity affected,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,0,0,0,,False,41687,2023,11,4,2023-11-04
2023-11-05,31.5323480241,34.4616007643,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41684,2023,11,5,2023-11-05
2023-11-05,31.5384016638,34.5013082588,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,True,86273,2023,11,5,2023-11-05
2023-11-05,31.5351927833,34.5093655515,Health Care,vicinity affected,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,0,0,0,,False,41682,2023,11,5,2023-11-05
2023-11-05,31.5166666667,34.45,Health Care,Health facility incident,Government of Israel,Host Government/Self-Declared Host Government,Not Applicable: No Direct Violence,0,0,0,0,0,0,,False,41756,2023,11,5,2023-11-05
2023-11-05,31.509642,34.44346,Health Care,"Dentist, Doctor: 2 killed",Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,2,0,0,0,"Dentist, Doctor",False,44071,2023,11,5,2023-11-05
2023-11-05,31.5336277465,34.4596266904,Health Care,1 facility(ies) damaged; vicinity affected,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41735,2023,11,5,2023-11-05
2023-11-05,31.5326402242,34.459701715,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41683,2023,11,5,2023-11-05
2023-11-05,31.5323480241,34.4616007643,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,False,41758,2023,11,5,2023-11-05
2023-11-05,31.5323480241,34.4616007643,Health Care,1 facility(ies) damaged; HospitalStaff: 3 injured,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,3,0,0,HospitalStaff,False,41759,2023,11,5,2023-11-05
2023-11-05,31.5323480241,34.4616007643,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41761,2023,11,5,2023-11-05
2023-11-05,31.5057881419,34.4304817915,Health Care,1 facility(ies) damaged; 5 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41685,2023,11,5,2023-11-05
2023-11-06,31.5338797038,34.506565336,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,False,41888,2023,11,6,2023-11-06
2023-11-06,31.5351927833,34.5093655515,Health Care,access obstructed,Government of Israel,Host Government/Self-Declared Host Government,Not Applicable: No Direct Violence,0,0,0,0,0,0,,True,41844,2023,11,6,2023-11-06
2023-11-06,31.5118250898,34.4558702144,Health Care,Doctor: 1 killed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,1,0,0,0,Doctor,False,41811,2023,11,6,2023-11-06
2023-11-06,31.5057881419,34.4304817915,Health Care,vicinity affected; access obstructed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,0,0,0,,True,41810,2023,11,6,2023-11-06
2023-11-06,31.5473440388,34.4575989674,Health Care,forceful entry; facility occupation,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,41808,2023,11,6,2023-11-06
2023-11-06,31.4432234,34.360007,Health Care,Paramedic: 4 injured,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,4,0,0,Paramedic,False,41879,2023,11,6,2023-11-06
2023-11-06,31.5356020826,34.4470303046,Health Care,Technician: 1 killed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,1,0,0,0,Technician,False,41763,2023,11,6,2023-11-06
2023-11-06,31.5128679,34.4581358,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,0,0,0,,True,41740,2023,11,6,2023-11-06
2023-11-06,31.5240854092,34.443495558,Health Care,vicinity affected,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,0,0,0,,False,41766,2023,11,6,2023-11-06
2023-11-06,31.3407357822,34.2993159504,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,0,0,0,Doctor,False,41809,2023,11,6,2023-11-06
2023-11-06,31.4876259,34.4440945219,Health Care,Student(Tertiary): 1 killed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,1,0,0,0,Student(Tertiary),False,69203,2023,11,6,2023-11-06
2023-11-06,31.4200022681,34.3597412109,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,True,86235,2023,11,6,2023-11-06
2023-11-06,31.5128679,34.4581358,Health Care,Student(Tertiary): 1 killed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,1,0,0,0,Student(Tertiary),False,74878,2023,11,6,2023-11-06
2023-11-06,31.4427238495,34.3679766298,Health Care,Student(Tertiary): 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Student(Tertiary),False,74978,2023,11,6,2023-11-06
2023-11-06,31.4482157917,34.393408289,Health Care,Administrator: 1 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,Administrator,False,68542,2023,11,6,2023-11-06
2023-11-06,31.4482157917,34.393408289,Health Care,Student(Tertiary): 1 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,Student(Tertiary),False,75011,2023,11,6,2023-11-06
2023-11-06,32.446341,35.1693494,Health Care,ProgrammeStaff: 1 injured; access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,1,0,0,ProgrammeStaff,True,89599,2023,11,6,2023-11-06
2023-11-06,31.5240854092,34.443495558,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Drone,0,1,0,0,0,0,,False,41739,2023,11,6,2023-11-06
2023-11-07,31.5330246873,34.4587254595,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,1,0,0,0,0,,False,85233,2023,11,7,2023-11-07
2023-11-07,31.351716943,34.3209957959,Health Care,vicinity affected,Israeli Defence Forces,Host Government: Military,Shelling,0,0,0,0,0,0,,False,85269,2023,11,7,2023-11-07
2023-11-07,31.5057881419,34.4304817915,Health Care,vicinity affected,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,0,0,0,,False,41665,2023,11,7,2023-11-07
2023-11-07,32.3136127735,35.0349283566,Health Care,1 facility(ies) damaged,Unidentified Armed Actor,Multiple,"Firearms, Unspecified IED",0,1,0,0,0,0,,False,42742,2023,11,7,2023-11-07
2023-11-07,31.5323480241,34.4616007643,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,False,41881,2023,11,7,2023-11-07
2023-11-07,31.5384016638,34.5013082588,Health Care,1 facility(ies) damaged; vicinity affected,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,1,0,0,0,0,,False,41883,2023,11,7,2023-11-07
2023-11-07,31.5351927833,34.5093655515,Health Care,1 facility(ies) damaged; vicinity affected,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,1,0,0,0,0,,False,41886,2023,11,7,2023-11-07
2023-11-07,31.5249953799,34.4445419596,Health Care,Driver: 1 injured; 2 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,0,1,0,0,Driver,False,41764,2023,11,7,2023-11-07
2023-11-08,31.4456529032,34.3624863506,Health Care,Dentist: 1 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,Dentist,False,41906,2023,11,8,2023-11-08
2023-11-08,31.4403805406,34.3679766298,Health Care,Technician: 1 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,Technician,False,41905,2023,11,8,2023-11-08
2023-11-08,31.5240854092,34.443495558,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41773,2023,11,8,2023-11-08
2023-11-08,31.5290924248,34.4840203437,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,1,0,0,0,Nurse,False,42399,2023,11,8,2023-11-08
2023-11-08,31.5330246873,34.4587254595,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41871,2023,11,8,2023-11-08
2023-11-08,31.4392088642,34.3597412109,Health Care,Pharmacist: 1 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,Pharmacist,False,41904,2023,11,8,2023-11-08
2023-11-08,31.5057881419,34.4304817915,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,True,41884,2023,11,8,2023-11-08
2023-11-08,31.4380371731,34.3679766298,Health Care,Doctor: 1 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,Doctor,False,41901,2023,11,8,2023-11-08
2023-11-08,31.3023150385,34.3195736658,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,False,86266,2023,11,8,2023-11-08
2023-11-08,31.5128679,34.4581358,Health Care,Doctor: 2 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,2,0,0,0,Doctor,False,69736,2023,11,8,2023-11-08
2023-11-08,31.4427238495,34.3679766298,Health Care,Student(Tertiary): 1 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,Student(Tertiary),False,41903,2023,11,8,2023-11-08
2023-11-08,31.3478325696,34.2932331562,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41869,2023,11,8,2023-11-08
2023-11-08,31.5363212588,34.4962499376,Health Care,vicinity affected,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,0,0,0,0,,False,41892,2023,11,8,2023-11-08
2023-11-08,31.5290924248,34.4840203437,Health Care,Pharmacist: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Pharmacist,False,75638,2023,11,8,2023-11-08
2023-11-09,31.3035067571,34.3178123355,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,1,0,0,0,0,,False,85307,2023,11,9,2023-11-09
2023-11-09,32.4601429368,35.2877427919,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,ProgrammeStaff,True,89615,2023,11,9,2023-11-09
2023-11-09,32.5012334,35.1676363,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,AmbulanceDriver,True,89612,2023,11,9,2023-11-09
2023-11-09,32.2053935884,35.2865839068,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,89608,2023,11,9,2023-11-09
2023-11-09,32.2074634059,35.300831809,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,89605,2023,11,9,2023-11-09
2023-11-09,32.2053935884,35.2865839068,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,89619,2023,11,9,2023-11-09
2023-11-09,32.4601429368,35.2877427919,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Other Weapon,0,0,0,0,0,0,,True,89617,2023,11,9,2023-11-09
2023-11-09,31.5338797038,34.506565336,Health Care,Volunteer: 1 injured; 2 ambulance(s) destroyed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,1,0,0,Volunteer,False,86058,2023,11,9,2023-11-09
2023-11-09,32.4601429368,35.2877427919,Health Care,1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,89618,2023,11,9,2023-11-09
2023-11-09,31.5330246873,34.4587254595,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Artillery,0,1,0,0,0,0,,False,41894,2023,11,9,2023-11-09
2023-11-09,31.5330246873,34.4587254595,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Drone,0,0,0,0,0,0,,True,41893,2023,11,9,2023-11-09
2023-11-09,31.5336277465,34.4596266904,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,False,85234,2023,11,9,2023-11-09
2023-11-09,31.5330246873,34.4587254595,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,41895,2023,11,9,2023-11-09
2023-11-09,31.5351927833,34.5093655515,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Missile,0,1,0,0,0,0,,False,41880,2023,11,9,2023-11-09
2023-11-09,31.5326402242,34.459701715,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,False,85324,2023,11,9,2023-11-09
2023-11-09,31.5240854092,34.443495558,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41774,2023,11,9,2023-11-09
2023-11-09,32.4620862094,35.2915349538,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,41876,2023,11,9,2023-11-09
2023-11-09,31.5338797038,34.506565336,Health Care,HospitalStaff: 8 injured; vicinity affected; 1 ambulance(s) destroyed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,8,0,0,HospitalStaff,False,41908,2023,11,9,2023-11-09
2023-11-09,32.4601429368,35.2877427919,Health Care,"AmbulanceDriver, Paramedic: 2 injured; 1 ambulance(s) damaged",Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,2,0,0,"AmbulanceDriver, Paramedic",False,41874,2023,11,9,2023-11-09
2023-11-09,31.5175095782,34.4454646253,Health Care,1 facility(ies) damaged; vicinity affected,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41870,2023,11,9,2023-11-09
2023-11-10,31.5336277465,34.4596266904,Health Care,vicinity affected; access obstructed,Israeli Defence Forces,Host Government: Military,Artillery,0,0,0,0,0,0,,True,41862,2023,11,10,2023-11-10
2023-11-10,31.4432234,34.360007,Health Care,facility occupation; access obstructed,Israeli Defence Forces,Host Government: Military,No Information on the Weapon Used,0,0,0,0,0,0,,True,41938,2023,11,10,2023-11-10
2023-11-10,31.5240854092,34.443495558,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41776,2023,11,10,2023-11-10
2023-11-10,31.5240854092,34.443495558,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,No Information on the Weapon Used,0,0,0,0,0,0,,False,41777,2023,11,10,2023-11-10
2023-11-10,31.5057881419,34.4304817915,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,1,0,0,0,0,,False,41858,2023,11,10,2023-11-10
2023-11-10,31.5323480241,34.4616007643,Health Care,vicinity affected; access obstructed,Israeli Defence Forces,Host Government: Military,Artillery,0,0,0,0,0,0,,True,41863,2023,11,10,2023-11-10
2023-11-10,31.504679,34.4349021,Health Care,"Paramedic: 1 injured, 1 arrested",Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,1,0,1,Paramedic,False,56570,2023,11,10,2023-11-10
2023-11-10,31.5330246873,34.4587254595,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,42327,2023,11,10,2023-11-10
2023-11-10,31.719444,35.198889,Health Care,Paramedic: 2 injured; access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,2,0,0,Paramedic,True,41866,2023,11,10,2023-11-10
2023-11-10,31.4474102914,34.3872070313,Health Care,"HeadOfProgramme: 1 killed, 1 arrested",Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,1,HeadOfProgramme,False,53595,2023,11,10,2023-11-10
2023-11-10,31.2830204,34.2805069396,Health Care,"Pharmacist, Student(Tertiary): 2 killed",Israeli Defence Forces,Host Government: Military,Firearms,0,0,2,0,0,0,"Pharmacist, Student(Tertiary)",False,74944,2023,11,10,2023-11-10
2023-11-10,31.5356020826,34.4470303046,Health Care,Student(Tertiary): 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Student(Tertiary),False,74979,2023,11,10,2023-11-10
2023-11-10,31.4384767815,34.4034718931,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,Nurse,False,74980,2023,11,10,2023-11-10
2023-11-10,31.4432234,34.360007,Health Care,Doctor: 1 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,Doctor,False,69737,2023,11,10,2023-11-10
2023-11-10,31.5326402242,34.459701715,Health Care,vicinity affected; access obstructed,Israeli Defence Forces,Host Government: Military,Artillery,0,0,0,0,0,0,,True,41861,2023,11,10,2023-11-10
2023-11-11,31.3478325696,34.2932331562,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,False,86464,2023,11,11,2023-11-11
2023-11-11,31.55012685,34.5033133774,Health Care,Pharmacist: 1 killed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,1,0,0,0,Pharmacist,False,69241,2023,11,11,2023-11-11
2023-11-11,31.5240854092,34.443495558,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Artillery,0,1,0,0,0,0,,False,86115,2023,11,11,2023-11-11
2023-11-11,31.5128679,34.4581358,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Missile,0,0,1,0,0,0,Nurse,False,75010,2023,11,11,2023-11-11
2023-11-11,31.5240854092,34.443495558,Health Care,Nurse: 3 killed; vicinity affected,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,3,0,0,0,Nurse,False,41956,2023,11,11,2023-11-11
2023-11-11,31.5057881419,34.4304817915,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,42008,2023,11,11,2023-11-11
2023-11-11,31.5351927833,34.5093655515,Health Care,vicinity affected,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,0,0,0,,False,41913,2023,11,11,2023-11-11
2023-11-11,31.5240854092,34.443495558,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,0,0,0,0,,True,41784,2023,11,11,2023-11-11
2023-11-11,31.5240854092,34.443495558,Health Care,access obstructed,Government of Israel,Host Government/Self-Declared Host Government,Not Applicable: No Direct Violence,0,0,0,0,0,0,,True,41807,2023,11,11,2023-11-11
2023-11-11,31.5240854092,34.443495558,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,0,0,0,0,,False,41899,2023,11,11,2023-11-11
2023-11-11,31.5233034674,34.4459474906,Health Care,vicinity affected,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,0,0,0,0,ProgrammeStaff,False,42123,2023,11,11,2023-11-11
2023-11-11,31.5057881419,34.4304817915,Health Care,vicinity affected,Israeli Defence Forces,Host Government: Military,Shelling,0,0,0,0,0,0,,False,41926,2023,11,11,2023-11-11
2023-11-11,31.5240854092,34.443495558,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,41856,2023,11,11,2023-11-11
2023-11-11,31.5357348,34.4471198,Health Care,1 facility(ies) destroyed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,1,0,0,0,0,0,,False,41954,2023,11,11,2023-11-11
2023-11-11,31.5057881419,34.4304817915,Health Care,vicinity affected,Israeli Defence Forces,Host Government: Military,Artillery,0,0,0,0,0,0,,False,41851,2023,11,11,2023-11-11
2023-11-11,31.5240854092,34.443495558,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,False,41902,2023,11,11,2023-11-11
2023-11-12,31.5057881419,34.4304817915,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,False,41928,2023,11,12,2023-11-12
2023-11-12,31.5255898284,34.451016741,Health Care,"1 facility(ies) damaged; Dentist, Doctor, Student(Tertiary): 4 killed",Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,4,0,0,0,"Dentist, Doctor, Student(Tertiary)",False,41927,2023,11,12,2023-11-12
2023-11-12,31.527309135,34.451649769,Health Care,1 facility(ies) destroyed; forceful entry,Israeli Defence Forces,Host Government: Military,Firearms,1,0,0,0,0,0,,False,41955,2023,11,12,2023-11-12
2023-11-12,31.5166666667,34.45,Health Care,Doctor: 2 killed,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,2,0,0,0,Doctor,False,41957,2023,11,12,2023-11-12
2023-11-12,31.5240854092,34.443495558,Health Care,OtherHealthProfessional: 1 killed; vicinity affected,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,OtherHealthProfessional,False,84695,2023,11,12,2023-11-12
2023-11-12,31.5240854092,34.443495558,Health Care,Technician: 1 injured; vicinity affected,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,1,0,0,Technician,False,42021,2023,11,12,2023-11-12
2023-11-12,31.5338797038,34.506565336,Health Care,vicinity affected,Israeli Defence Forces,Host Government: Military,Shelling,0,0,0,0,0,0,,False,86056,2023,11,12,2023-11-12
2023-11-12,31.4183455,34.3502476,Health Care,Nurse: 1 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,Nurse,False,74977,2023,11,12,2023-11-12
2023-11-12,31.5240854092,34.443495558,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,42020,2023,11,12,2023-11-12
2023-11-13,31.5134844,34.4528214,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,85235,2023,11,13,2023-11-13
2023-11-13,31.8125660076,35.245844152,Health Care,1 facility(ies) damaged; forceful entry,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,1,0,0,0,0,,False,42335,2023,11,13,2023-11-13
2023-11-13,31.5057881419,34.4304817915,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,86203,2023,11,13,2023-11-13
2023-11-13,31.5128679,34.4581358,Health Care,"Driver, OtherHealthProfessional: 3 injured; 1 ambulance(s) damaged",Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,0,0,3,0,0,"Driver, OtherHealthProfessional",False,41933,2023,11,13,2023-11-13
2023-11-13,31.5102562,34.4585173,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,0,1,0,0,0,0,,False,42010,2023,11,13,2023-11-13
2023-11-13,31.3517405124,34.2981790731,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,False,41931,2023,11,13,2023-11-13
2023-11-13,31.8125660076,35.245844152,Health Care,1 facility(ies) damaged; forceful entry,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,1,0,0,0,0,,False,42760,2023,11,13,2023-11-13
2023-11-14,31.5239070721,34.4432752803,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,False,42023,2023,11,14,2023-11-14
2023-11-14,32.3136127735,35.0349283566,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,42132,2023,11,14,2023-11-14
2023-11-14,32.3111468,35.0275505,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,ProgrammeStaff,False,89625,2023,11,14,2023-11-14
2023-11-14,31.5128679,34.4581358,Health Care,Pharmacist: 1 killed,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,0,0,1,0,0,0,Pharmacist,False,75571,2023,11,14,2023-11-14
2023-11-14,31.5251142699,34.4474387115,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,85236,2023,11,14,2023-11-14
2023-11-14,32.3136127735,35.0349283566,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,ProgrammeStaff,True,89621,2023,11,14,2023-11-14
